driverId,constructorId,circuitId,statusId,grid,driver_experience,constructor_experience,driver_age,year,positionOrder,driver_avg_position,constructor_avg_position
1,1,1,2,18,0,0,24,2009,20,10.0,10.0
1,1,2,1,12,1,2,24,2009,7,20.0,19.5
1,1,17,1,9,2,4,24,2009,6,13.5,16.5
1,1,3,1,5,3,6,24,2009,4,11.0,11.4
1,1,4,11,14,4,8,24,2009,9,9.25,9.4
1,1,6,11,19,5,10,24,2009,12,9.2,9.2
1,1,5,1,16,6,12,24,2009,13,7.6,13.0
1,1,9,11,18,7,14,24,2009,16,8.8,14.2
1,1,20,11,5,8,16,24,2009,18,10.8,15.8
1,1,11,1,4,9,18,24,2009,1,13.6,15.2
1,1,12,1,1,10,20,24,2009,2,12.0,10.4
1,1,13,4,12,11,22,24,2009,19,10.0,4.0
1,1,14,3,1,12,24,24,2009,12,11.2,7.2
1,1,15,1,1,13,26,24,2009,1,10.4,9.4
1,1,22,1,3,14,28,24,2009,3,7.0,6.4
1,1,18,1,17,15,30,24,2009,3,7.4,5.6
1,1,24,23,1,16,32,24,2009,19,7.6,6.6
1,1,1,1,1,17,34,23,2008,1,7.6,10.6
1,1,2,1,9,18,36,23,2008,5,5.4,9.0
1,1,3,11,3,19,38,23,2008,13,6.2,5.0
1,1,4,1,5,20,40,23,2008,3,8.2,6.2
1,1,5,1,3,21,42,23,2008,2,8.2,8.2
1,1,6,1,3,22,44,23,2008,1,4.8,7.8
1,1,7,4,1,23,46,23,2008,19,4.8,8.0
1,1,8,1,13,24,48,23,2008,10,7.6,9.8
1,1,9,1,4,25,50,23,2008,1,7.0,10.0
1,1,10,1,1,26,52,23,2008,1,6.6,5.8
1,1,11,1,1,27,54,23,2008,5,6.4,3.2
1,1,12,1,2,28,56,23,2008,2,7.2,3.4
1,1,13,1,1,29,58,23,2008,3,3.8,3.4
1,1,14,1,15,30,60,23,2008,7,2.4,4.0
1,1,15,1,2,31,62,23,2008,3,3.6,5.2
1,1,16,1,1,32,64,23,2008,12,4.0,6.4
1,1,17,1,1,33,66,23,2008,1,5.4,8.8
1,1,18,1,4,34,68,23,2008,5,5.2,11.6
1,1,1,1,4,35,70,22,2007,3,5.6,9.6
1,1,2,1,4,36,72,22,2007,2,4.8,7.0
1,1,3,1,2,37,74,22,2007,2,4.6,3.0
1,1,4,1,4,38,76,22,2007,2,2.6,2.4
1,1,6,1,2,39,78,22,2007,2,2.8,2.6
1,1,7,1,1,40,80,22,2007,1,2.2,2.6
1,1,19,1,1,41,82,22,2007,1,1.8,2.8
1,1,8,1,2,42,84,22,2007,3,1.6,2.4
1,1,9,1,1,43,86,22,2007,3,1.8,4.0
1,1,20,11,10,44,88,22,2007,9,2.0,3.4
1,1,11,1,1,45,90,22,2007,1,3.4,4.4
1,1,5,1,2,46,92,22,2007,5,3.4,3.4
1,1,14,1,2,47,94,22,2007,2,4.2,2.8
1,1,13,1,4,48,96,22,2007,4,4.0,3.0
1,1,16,1,1,49,98,22,2007,1,4.2,2.6
1,1,17,20,1,50,100,22,2007,19,2.6,6.0
1,1,18,11,2,51,102,22,2007,7,6.2,9.2
1,1,3,1,4,52,672,25,2010,3,6.6,15.6
1,1,1,1,11,53,674,25,2010,6,6.8,10.4
1,1,2,1,20,54,676,25,2010,6,7.2,6.4
1,1,17,1,6,55,678,25,2010,2,8.2,5.6
1,1,4,29,3,56,680,25,2010,14,4.8,3.6
1,1,6,1,5,57,682,25,2010,5,6.2,6.0
1,1,5,1,2,58,684,25,2010,1,6.6,9.6
1,1,7,1,1,59,686,25,2010,1,5.6,7.2
1,1,12,1,3,60,688,25,2010,2,4.6,5.8
1,1,9,1,4,61,690,25,2010,2,4.6,2.0
1,1,10,1,6,62,692,25,2010,4,2.2,2.6
1,1,11,6,5,63,694,25,2010,20,2.0,3.6
1,1,13,1,2,64,696,25,2010,1,5.8,8.2
1,1,15,4,3,66,700,25,2010,19,10.0,11.2
1,1,22,1,8,67,702,25,2010,5,13.4,14.0
1,1,35,1,4,68,704,25,2010,2,13.6,6.8
1,1,18,1,4,69,706,25,2010,4,10.0,5.4
1,1,24,1,2,70,708,25,2010,2,10.6,5.4
1,1,1,1,2,71,1351,26,2011,2,6.4,13.8
1,1,2,1,2,72,1353,26,2011,8,3.0,9.0
1,1,17,1,3,73,1355,26,2011,1,3.6,5.2
1,1,5,1,4,74,1357,26,2011,4,3.4,4.2
1,1,4,1,3,75,1359,26,2011,2,3.4,3.4
1,1,6,1,9,76,1361,26,2011,6,3.4,3.8
1,1,12,1,3,78,1365,26,2011,4,7.4,7.4
1,1,9,1,10,79,1367,26,2011,4,8.0,7.6
1,1,20,1,2,80,1369,26,2011,1,8.0,7.0
1,1,11,1,2,81,1371,26,2011,4,7.8,10.6
1,1,14,1,2,83,1375,26,2011,4,7.0,10.4
1,1,15,1,4,84,1377,26,2011,5,7.0,6.4
1,1,22,1,3,85,1379,26,2011,5,7.2,3.2
1,1,35,1,1,86,1381,26,2011,2,8.0,3.0
1,1,68,1,5,87,1383,26,2011,7,7.6,2.8
1,1,24,1,2,88,1385,26,2011,1,4.6,3.2
1,1,1,1,1,90,1389,27,2012,3,7.4,6.2
1,1,2,1,1,91,1391,27,2012,3,7.0,6.4
1,1,17,1,7,92,1393,27,2012,3,7.2,4.8
1,1,3,1,2,93,1395,27,2012,8,6.4,4.6
1,1,4,1,24,94,1397,27,2012,8,7.8,9.0
1,1,6,1,3,95,1399,27,2012,5,5.0,9.0
