driverId,constructorId,circuitId,statusId,grid,driver_experience,constructor_experience,driver_age,year,positionOrder,driver_avg_position,constructor_avg_position
110,51,38,10,11,190,112,23,1982,11,13.2,14.8
56,17,29,5,9,131,371,30,1995,11,8.8,14.0
265,26,50,13,21,10,106,31,1974,12,21.8,18.0
30,6,2,1,1,72,249,33,2002,3,3.8,7.8
222,6,9,11,11,22,1032,29,1979,5,3.0,6.8
826,213,24,11,7,111,32,26,2020,11,10.6,9.6
289,34,30,12,19,43,586,42,1971,9,9.6,18.6
328,25,45,3,4,17,835,32,1972,12,11.6,11.8
1,131,13,1,1,256,450,35,2020,1,1.2,4.0
456,87,6,6,4,25,4,36,1958,10,10.2,4.5
14,1,10,1,10,101,237,32,2003,2,9.2,7.2
23,7,1,11,9,0,71,31,2007,8,10.0,10.0
15,4,70,11,6,111,225,28,2003,8,9.8,11.0
199,3,70,1,4,26,1014,38,1980,3,3.0,11.8
57,1,21,5,11,87,455,27,1996,8,8.0,10.8
289,66,57,99,1,124,398,35,1964,20,3.0,7.8
554,105,25,1,4,19,133,34,1956,2,9.6,10.2
633,6,39,1,4,23,1805,43,1952,3,9.4,12.0
154,208,22,12,4,20,29,26,2012,19,11.6,7.4
347,167,39,16,13,30,66,36,1966,7,10.6,10.0
795,156,19,15,16,0,1,37,1950,11,10.0,20.0
154,210,24,1,14,103,40,30,2016,11,16.8,19.8
836,15,3,11,13,21,712,22,2017,11,18.0,15.8
127,41,14,14,18,27,23,28,1991,15,17.0,14.4
9,2,8,1,5,24,49,23,2008,5,2.8,6.4
289,32,14,8,10,169,848,30,1959,20,12.4,16.8
825,210,6,1,19,66,93,25,2018,13,10.2,13.4
77,54,14,12,20,207,13,25,1984,6,8.0,15.0
363,6,13,1,8,0,1280,28,1970,4,10.0,14.4
341,63,49,18,22,2,229,37,1971,11,16.5,13.2
345,167,13,5,13,41,14,27,1967,9,7.4,12.2
163,4,43,13,20,111,444,32,1981,8,11.4,13.2
821,15,18,11,17,18,588,22,2013,12,12.0,11.0
498,105,25,11,5,14,317,30,1953,3,5.0,8.4
119,51,38,12,11,141,26,31,1985,9,20.2,19.2
581,133,13,8,16,29,4,21,1953,18,16.0,16.5
55,20,7,10,17,24,48,36,2000,19,14.8,14.8
123,21,70,101,18,117,339,29,1986,14,14.0,18.8
826,5,13,1,11,11,317,20,2014,9,16.2,13.4
373,180,39,1,8,3,104,31,1967,1,8.666666666666666,8.4
679,113,19,16,20,0,138,33,1954,16,10.0,13.4
19,8,11,3,15,14,29,28,2007,20,14.4,14.8
95,3,10,5,1,90,787,33,1987,12,8.4,1.6
